,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
207,-0.01,-0.01,-0.01,-0.01,-0.01,68203.18,-0.01,-0.01,-0.01,19006.38,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12351.89,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14558.3,947.3,-0.01,-0.01,-0.01,-0.01,10208.92,-0.01,-0.01,6979.13,478.19,-0.01,-0.01,-0.01,-0.01,121066.49,48574.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
208,-0.01,-0.01,-0.01,-0.01,-0.01,69580.98,-0.01,-0.01,-0.01,18855.07,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12327.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12005.92,942.91,-0.01,-0.01,-0.01,-0.01,10226.63,-0.01,-0.01,6977.23,477.63,-0.01,-0.01,-0.01,-0.01,103266.92,47297.61,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
209,-0.01,-0.01,-0.01,-0.01,-0.01,70332.89,-0.01,-0.01,-0.01,18143.96,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12308.25,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12004.97,908.11,-0.01,-0.01,-0.01,-0.01,10246.43,-0.01,-0.01,6978.11,477.93,-0.01,-0.01,-0.01,-0.01,94951.13,45870.23,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
210,-0.01,-0.01,-0.01,-0.01,-0.01,71006.03,-0.01,-0.01,-0.01,17668.58,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12301.34,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12008.17,939.63,-0.01,-0.01,-0.01,-0.01,10276.75,-0.01,-0.01,6986.24,436.95,-0.01,-0.01,-0.01,-0.01,110147.24,46273.84,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
211,-0.01,-0.01,-0.01,-0.01,-0.01,71089.32,-0.01,-0.01,-0.01,14865.8,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12285.63,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12006.77,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,435.97,-0.01,-0.01,-0.01,-0.01,-0.01,46463.42,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
212,-0.01,-0.01,-0.01,-0.01,-0.01,71882.6,-0.01,-0.01,-0.01,14522.85,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12286.63,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12014.35,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,436.28,-0.01,-0.01,-0.01,-0.01,-0.01,45385.83,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
213,-0.01,-0.01,-0.01,-0.01,-0.01,71092.61,-0.01,-0.01,-0.01,16821.29,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12297.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12040.54,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,450.77,-0.01,-0.01,-0.01,-0.01,-0.01,45747.17,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
214,-0.01,-0.01,-0.01,-0.01,-0.01,70150.03,-0.01,-0.01,-0.01,14530,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12314.53,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12058.35,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,450.1,-0.01,-0.01,-0.01,-0.01,-0.01,45726.65,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
215,-0.01,-0.01,-0.01,-0.01,-0.01,68885.45,-0.01,-0.01,-0.01,14283.7,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12317.74,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12069.33,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,450.1,-0.01,-0.01,-0.01,-0.01,-0.01,45023.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
216,-0.01,-0.01,-0.01,-0.01,-0.01,68493.67,-0.01,-0.01,-0.01,15841.68,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12337.96,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11970.72,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,76.89,-0.01,-0.01,-0.01,-0.01,-0.01,45663.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
